,ask_id,sec_name,ticker,morningstar_category
0,B00670,Emerging Markets Growth Fund M,EMRGX,US Fund Diversified Emerging Mkts
1,B00739,Calvert Income A,CFICX,US Fund Corporate Bond
2,B00810,Calamos High Income Opportunities A,CHYDX,US Fund High Yield Bond
3,B00838,Bullfinch Greater Western New York,BWNYX,US Fund Mid-Cap Blend
4,B05548,Columbia Large Cap Index Inst,NINDX,US Fund Large Blend
5,B05754,Columbia Small Cap Index Inst,NMSCX,US Fund Small Blend
6,B06390,DFA Tax-Managed US Small Cap,,US Fund Small Blend
7,B07260,Federated Hermes Emerging Market Debt A,IHIAX,US Fund Emerging Markets Bond
8,B08348,Fidelity® Capital & Income,FAGIX,US Fund High Yield Bond
9,B08441,Fidelity® International Index,FSPSX,US Fund Foreign Large Blend
10,B08489,Fidelity® Municipal Income,FHIGX,US Fund Muni National Long
11,B08495,Fidelity® New Markets Income,FNMIX,US Fund Emerging Markets Bond
12,B09419,GMO Emerging Country Debt III,GMCDX,US Fund Emerging Markets Bond
13,B11317,Shelton Emerging Markets Institutiona,EMSQX,US Fund Diversified Emerging Mkts
14,B11780,Invesco Municipal Income A,VKMMX,US Fund Muni National Long
15,B14078,JPMorgan Emerging Markets Debt I,JEMDX,US Fund Emerging Markets Bond
16,B14771,Lazard US Corporate Income Instl,LZHYX,US Fund High Yield Bond
17,B15191,Lord Abbett Income A,LAGVX,US Fund Corporate Bond
18,B15503,MainStay Epoch US All Cap I,,US Fund Large Blend
19,B16441,MFS Corporate Bond A,MFBFX,US Fund Corporate Bond
20,B16476,MFS Emerging Markets Equity A,MEMAX,US Fund Diversified Emerging Mkts
21,B17301,Morgan Stanley Inst US Real Estate I,MSUSX,US Fund Real Estate
22,B17945,Northern Small Cap Index,NSIDX,US Fund Small Blend
23,B17949,Northern Tax-Exempt,NOTEX,US Fund Muni National Long
24,B18527,Parametric Tax-Managed Intl Eq Inv,ETIGX,US Fund Foreign Large Blend
25,B18618,Pear Tree Quality Ordinary,USBOX,US Fund Large Blend
26,B18691,PGIM Corporate Bond Z,TGMBX,US Fund Corporate Bond
27,B19390,Pioneer AMT-Free Municipal A,PBMFX,US Fund Muni National Long
28,B19480,Pioneer Real Estate A,PWREX,US Fund Real Estate
29,B20591,Putnam Research A,PNRAX,US Fund Large Blend
30,B20796,CCM Core Impact Equity Fund Advisor,QUAGX,US Fund Large Blend
31,B21691,SEI International Equity F (SIT),SEITX,US Fund Foreign Large Blend
32,B21717,SEI Mid-Cap F (SIMT),SEMCX,US Fund Mid-Cap Blend
33,B21793,Selected International S,SLSSX,US Fund Foreign Large Blend
34,B21967,State Street Defensive Em Mkts Eq N,SSEMX,US Fund Diversified Emerging Mkts
35,B22099,Sterling Capital Stratton MdCp Val Instl,STRGX,US Fund Mid-Cap Blend
36,B22102,Sterling Capital Stratton Real Estate I,STMDX,US Fund Real Estate
37,B22198,T. Rowe Price Corporate Income,PRPIX,US Fund Corporate Bond
38,B22568,TCW High Yield Bond I,TGHYX,US Fund High Yield Bond
39,B22672,TETON Westwood Mighty Mites AAA,WEMMX,US Fund Small Blend
40,B23377,Touchstone Small Company A,SAGWX,US Fund Small Blend
41,B23749,USAA High Income,USHYX,US Fund High Yield Bond
42,B23827,VALIC Company I Intl Sclly Rspnb,VCSOX,US Fund Foreign Large Blend
43,B23868,Value Line Tax-Exempt,VLHYX,US Fund Muni National Long
44,B24063,Vanguard Mid Cap Index Institutional,VMCIX,US Fund Mid-Cap Blend
45,B24413,Virtus Duff & Phelps Real Estate Secs A,PHRAX,US Fund Real Estate
46,B24848,Voya Mid Cap Research Enhanced Index I,VYMSX,US Fund Mid-Cap Blend
47,B24891,MainStay CBRE Real Estate I,CRARX,US Fund Real Estate
48,B25164,VY® JPMorgan Emerging Markets Equity S,IJPIX,US Fund Diversified Emerging Mkts
49,B25810,Western Asset Emerging Markets Dbt I,SEMDX,US Fund Emerging Markets Bond
