as_of,B00670,B00739,B00810,B00838,B05548,B05754,B06390,B07260,B08348,B08441,B08489,B08495,B09419,B11317,B11780,B14078,B14771,B15191,B15503,B16441,B16476,B17301,B17945,B17949,B18527,B18618,B18691,B19390,B19480,B20591,B20796,B21691,B21717,B21793,B21967,B22099,B22102,B22198,B22568,B22672,B23377,B23749,B23827,B23868,B24063,B24413,B24848,B24891,B25164,B25810
2000-01-01,34.4011,77.8197,9.96183,9.06954,35.1367,13.6955,13.6334,11.1659,119.735,29.4035,68.6286,22.0431,83.2145,13.17,25.0916,11.1687,42.3719,14.0622,69.6208,140.718,18.3191,18.6318,11.5716,13.2239,13.9435,125.008,15.6183,15.4123,16.8747,24.9071,31.9086,23.1038,24.8494,116.858,14.5064,134.515,110.369,12.3946,17.4207,15.1637,14.8,10.5198,49.0591,30.8966,12.5854,15.835,14.2961,10.0447,11.9192,13.0904
2000-01-02,34.4011,77.8197,9.96183,9.06954,35.1367,13.6955,13.6334,11.1659,119.735,29.4035,68.6286,22.0431,83.2145,13.17,25.0916,11.1687,42.3719,14.0622,69.6208,140.718,18.3191,18.6318,11.5716,13.2239,13.9435,125.008,15.6183,15.4123,16.8747,24.9071,31.9086,23.1038,24.8494,116.858,14.5064,134.515,110.369,12.3946,17.4207,15.1637,14.8,10.5198,49.0591,30.8966,12.5854,15.835,14.2961,10.0447,11.9192,13.0904
2000-01-03,34.4011,77.6802,9.95167,9.10958,34.8019,13.401,13.463,11.1801,119.117,29.5518,68.4079,22.1666,83.527,13.36,25.0318,11.2097,42.2753,14.0068,68.9078,139.794,18.8072,18.4587,11.389,13.1852,14.1144,123.723,15.5426,15.3645,16.6531,24.4158,31.8922,23.346,24.4681,113.389,14.6896,130.327,109.799,12.3291,17.3818,15.0836,14.5819,10.499,48.5839,30.8148,12.4072,15.6039,14.1207,9.82709,12.0532,13.1559
2000-01-04,34.4011,77.6802,9.93134,8.92939,33.4748,12.9487,13.0319,11.1518,119.014,28.7166,68.4179,21.8941,83.3187,13.17,25.0357,11.073,42.227,14.0093,65.818,140.279,18.7968,18.2699,10.9631,13.2005,13.7927,117.763,15.5766,15.3645,16.4729,23.2421,30.7632,22.684,23.6101,109.415,14.8499,127.336,109.073,12.3452,17.3235,14.9121,14.2276,10.4678,46.6831,30.8507,11.9617,15.4408,13.5713,9.70621,12.1357,13.025
2000-01-05,34.4011,77.3083,9.92117,9.00947,33.5368,12.9908,13.062,11.1234,118.782,28.0219,68.3702,21.8988,82.9021,12.42,24.986,11.0866,42.1303,13.9539,65.3975,139.582,18.236,18.38,10.9732,13.1618,13.4911,117.044,15.5166,15.3048,16.5145,23.2967,30.5177,21.9575,23.5942,109.27,14.4835,128.532,109.177,12.2796,17.304,14.9464,14.2276,10.4471,46.7021,30.7603,12.073,15.4952,13.6649,9.74247,11.981,13.0031
2000-01-06,34.4011,77.5872,9.90084,9.03951,33.574,12.9066,13.052,11.1093,118.679,27.5379,68.3801,21.8441,82.6938,11.96,25.0078,11.0456,42.082,14.0143,65.0319,139.931,17.8829,18.6161,10.8921,13.177,13.4207,115.811,15.5506,15.3287,16.847,23.3786,29.7486,21.6023,23.4512,108.692,14.2545,130.649,111.424,12.3229,17.2846,14.9007,14.2003,10.4471,46.6451,30.7961,12.0174,15.767,13.5596,9.92379,11.8057,13.0031
2000-01-07,34.4011,77.9126,9.90084,9.04952,34.4918,13.2537,13.3327,11.1234,118.705,28.0609,68.3899,22.0666,83.6311,12.11,25.0194,11.1413,42.0337,14.0369,67.1892,140.279,18.1529,19.0882,11.1963,13.1823,13.662,119.87,15.5899,15.3526,17.2488,24.0473,30.7304,21.8445,24.0867,110.86,14.4377,133.64,113.776,12.3575,17.2846,14.9922,14.5002,10.4574,47.9186,30.832,12.3737,16.134,13.9922,10.1776,12.0635,13.1122
2000-01-08,34.4011,77.9126,9.90084,9.04952,34.4918,13.2537,13.3327,11.1234,118.705,28.0609,68.3899,22.0666,83.6311,12.11,25.0194,11.1413,42.0337,14.0369,67.1892,140.279,18.1529,19.0882,11.1963,13.1823,13.662,119.87,15.5899,15.3526,17.2488,24.0473,30.7304,21.8445,24.0867,110.86,14.4377,133.64,113.776,12.3575,17.2846,14.9922,14.5002,10.4574,47.9186,30.832,12.3737,16.134,13.9922,10.1776,12.0635,13.1122
2000-01-09,34.4011,77.9126,9.90084,9.04952,34.4918,13.2537,13.3327,11.1234,118.705,28.0609,68.3899,22.0666,83.6311,12.11,25.0194,11.1413,42.0337,14.0369,67.1892,140.279,18.1529,19.0882,11.1963,13.1823,13.662,119.87,15.5899,15.3526,17.2488,24.0473,30.7304,21.8445,24.0867,110.86,14.4377,133.64,113.776,12.3575,17.2846,14.9922,14.5002,10.4574,47.9186,30.832,12.3737,16.134,13.9922,10.1776,12.0635,13.1122
2000-01-10,34.4011,77.8197,9.92117,9.14962,34.8763,13.4957,13.6234,11.1234,119.118,28.4512,68.3997,22.1308,83.9436,12.13,25.0233,11.1277,42.0337,14.0394,69.3649,140.163,18.7033,19.34,11.5006,13.1841,13.7927,122.593,15.5769,15.3526,17.4012,24.5114,31.3032,22.1189,24.6587,113.823,14.8613,130.741,114.874,12.3328,17.2846,15.1408,14.7727,10.4574,48.5648,30.8448,12.6967,16.2971,14.413,10.2864,12.5069,13.0904
2000-01-11,34.4011,77.6337,9.91101,9.07955,34.4174,13.2748,13.463,11.0951,118.629,28.4044,68.2367,21.8582,83.2145,12.32,24.9736,11.0046,42.0337,13.984,67.884,139.466,18.5683,19.2141,11.2876,13.1589,13.8229,119.561,15.5013,15.2929,17.3042,24.061,30.9595,22.3773,24.1662,111.799,14.6896,129.545,114.769,12.2809,17.304,15.198,14.6637,10.4471,47.9376,30.7544,12.3737,16.2156,14.0155,10.226,12.2388,12.9595
2000-01-12,34.4011,77.4478,9.90084,8.97944,34.2686,13.2432,13.3928,11.0526,118.784,28.2717,68.1889,21.764,82.7979,12.28,24.9418,10.9363,41.9854,13.9286,67.0064,139.233,18.5683,19.1668,11.2369,13.1471,13.7424,118.585,15.4883,15.269,17.2349,23.8017,31.0741,22.2481,23.9755,110.86,14.7354,128.808,114.142,12.2562,17.2651,15.1179,14.6637,10.4367,47.6905,30.7272,12.2624,16.0932,13.9103,10.1414,12.2285,12.894
2000-01-13,34.4011,77.7732,9.91101,9.01948,34.6903,13.5798,13.6835,11.0526,119.197,28.4278,68.1988,21.9467,83.4228,12.16,24.9636,11.0046,41.9854,13.989,68.6884,139.814,18.6618,19.1668,11.4904,13.1489,13.7826,121.308,15.5381,15.2809,17.2072,24.2657,31.5813,22.2965,24.3727,112.956,14.93,130.787,113.829,12.2995,17.2457,15.2209,14.9635,10.4367,48.2797,30.7631,12.5631,16.0796,14.261,10.1414,12.476,12.9595
2000-01-14,34.4011,77.6337,9.90084,9.06954,35.0499,13.7692,13.8539,11.0526,119.223,28.6932,68.2087,21.9713,83.6311,12.16,24.9791,11.032,41.9854,13.9965,69.5294,139.35,18.8902,19.1354,11.6324,13.1694,13.8229,123.826,15.5337,15.2809,17.1934,24.7024,32.334,22.5226,24.6428,115.341,15.1361,131.385,113.149,12.2823,17.2651,15.198,15.127,10.4367,48.907,30.7674,12.7079,16.0389,14.448,10.1051,12.6719,12.9813
2000-01-15,34.4011,77.6337,9.90084,9.06954,35.0499,13.7692,13.8539,11.0526,119.223,28.6932,68.2087,21.9713,83.6311,12.16,24.9791,11.032,41.9854,13.9965,69.5294,139.35,18.8902,19.1354,11.6324,13.1694,13.8229,123.826,15.5337,15.2809,17.1934,24.7024,32.334,22.5226,24.6428,115.341,15.1361,131.385,113.149,12.2823,17.2651,15.198,15.127,10.4367,48.907,30.7674,12.7079,16.0389,14.448,10.1051,12.6719,12.9813
2000-01-16,34.4011,77.6337,9.90084,9.06954,35.0499,13.7692,13.8539,11.0526,119.223,28.6932,68.2087,21.9713,83.6311,12.16,24.9791,11.032,41.9854,13.9965,69.5294,139.35,18.8902,19.1354,11.6324,13.1694,13.8229,123.826,15.5337,15.2809,17.1934,24.7024,32.334,22.5226,24.6428,115.341,15.1361,131.385,113.149,12.2823,17.2651,15.198,15.127,10.4367,48.907,30.7674,12.7079,16.0389,14.448,10.1051,12.6719,12.9813
2000-01-17,34.4011,77.6337,9.90084,9.06954,35.0499,13.7692,13.8539,11.0526,119.25,28.6932,68.2186,21.976,83.6311,12.16,24.9791,11.032,41.9854,13.9965,69.5294,139.35,18.8902,19.1354,11.6324,13.1717,13.8229,123.826,15.5375,15.2809,17.1934,24.7024,32.334,22.5226,24.6428,115.341,15.1361,131.385,113.149,12.2856,17.2651,15.198,15.127,10.4367,48.907,30.7803,12.7079,16.0389,14.448,10.1051,12.6719,12.9813
2000-01-18,34.4011,77.4013,9.90084,9.01948,34.8143,13.8533,14.0945,11.0243,119.146,28.4122,68.1132,21.9806,83.7353,12.07,24.9652,11.0183,41.9371,13.9412,69.3283,139.117,19.0772,19.2141,11.7744,13.1465,13.843,124.802,15.4932,15.257,17.2765,24.6069,33.0213,22.4095,24.754,114.979,15.3651,129.683,113.201,12.2473,17.2651,15.2666,15.1816,10.4367,48.5839,30.7661,12.7413,16.1068,14.5299,10.1535,12.7956,12.9595
2000-01-19,34.4011,77.5872,9.91101,9.10958,34.8391,13.9164,14.2649,11.0243,119.428,28.1858,68.123,21.9851,84.0477,11.8,24.9333,11.0456,41.9371,13.9437,70.0779,139.35,18.6306,19.3085,11.9164,13.1348,13.6922,125.881,15.5115,15.257,17.3873,24.7024,33.3813,22.1997,24.7699,116.208,14.9987,128.9,113.463,12.2634,17.2457,15.2666,15.3723,10.4367,48.6029,30.7388,12.8081,16.1476,14.6234,10.2018,12.5069,13.0031
2000-01-20,34.4011,77.4478,9.91101,9.11959,34.591,14.0006,14.3652,11.0384,119.582,28.1936,68.1329,21.95,83.8394,11.94,24.9015,11.0456,41.9371,13.9462,70.1876,139.233,18.7033,19.3085,12.0888,13.1231,13.7424,126.395,15.4792,15.2451,17.3596,24.5796,33.8886,22.3127,24.754,114.473,15.0102,126.185,113.619,12.2523,17.2068,15.2895,15.5086,10.4471,48.3748,30.7116,12.8081,16.1612,14.6234,10.1897,12.476,12.9813
2000-01-21,34.4011,77.4943,9.91101,9.19967,34.4918,14.1584,14.5055,11.0384,119.737,28.0375,68.1428,22.0338,84.256,11.91,24.8775,11.073,41.9371,13.9537,70.2424,139.35,18.5787,19.2455,12.2409,13.115,13.7424,126.703,15.5029,15.2212,17.3042,24.7024,34.3304,22.1351,24.8494,114.979,14.8728,124.621,113.254,12.2735,17.1874,15.4153,15.5086,10.4574,48.2797,30.6844,12.8304,16.134,14.6351,10.2139,12.4038,13.025
2000-01-22,34.4011,77.4943,9.91101,9.19967,34.4918,14.1584,14.5055,11.0384,119.737,28.0375,68.1428,22.0338,84.256,11.91,24.8775,11.073,41.9371,13.9537,70.2424,139.35,18.5787,19.2455,12.2409,13.115,13.7424,126.703,15.5029,15.2212,17.3042,24.7024,34.3304,22.1351,24.8494,114.979,14.8728,124.621,113.254,12.2735,17.1874,15.4153,15.5086,10.4574,48.2797,30.6844,12.8304,16.134,14.6351,10.2139,12.4038,13.025
2000-01-23,34.4011,77.4943,9.91101,9.19967,34.4918,14.1584,14.5055,11.0384,119.737,28.0375,68.1428,22.0338,84.256,11.91,24.8775,11.073,41.9371,13.9537,70.2424,139.35,18.5787,19.2455,12.2409,13.115,13.7424,126.703,15.5029,15.2212,17.3042,24.7024,34.3304,22.1351,24.8494,114.979,14.8728,124.621,113.254,12.2735,17.1874,15.4153,15.5086,10.4574,48.2797,30.6844,12.8304,16.134,14.6351,10.2139,12.4038,13.025
2000-01-24,34.4011,77.8661,9.93134,9.08956,33.5368,13.9059,14.3652,11.0384,119.763,27.936,68.095,22.0382,84.6726,11.82,24.8278,11.114,41.9371,14.0141,67.6829,139.931,18.5787,19.0724,11.9772,13.1074,13.7324,122.541,15.5526,15.2212,17.1518,24.0064,34.0849,22.1674,24.3251,113.028,14.8728,122.043,112.522,12.3305,17.2068,15.461,15.3178,10.4782,46.9682,30.6658,12.5074,15.9845,14.2376,10.1172,12.3728,13.0904
2000-01-25,34.4011,77.9591,9.92117,9.02949,33.7352,13.7902,14.3151,11.0243,119.661,27.5457,68.1048,22.0032,84.4643,11.64,24.8495,11.073,41.8405,14.0166,68.0668,140.047,18.4333,18.978,11.957,13.1092,13.6218,124.34,15.5551,15.2212,17.1103,24.1292,34.2322,21.8768,24.2933,113.173,14.6323,120.663,112.417,12.333,17.2262,15.4953,15.2361,10.4886,47.2723,30.6702,12.5408,15.9437,14.3195,10.093,12.2904,13.0468
2000-01-26,34.4011,78.0986,9.92117,9.05953,33.5988,13.7166,14.3151,11.0384,119.687,27.8814,68.1147,22.0275,84.6726,11.77,24.8534,11.0866,41.8888,14.0191,67.5915,140.395,18.5475,18.978,11.9367,13.111,13.7625,123.261,15.5734,15.2331,17.0964,24.1019,34.1668,22.1997,24.2297,113.895,14.6896,122.826,112.888,12.3355,17.2262,15.4953,15.2633,10.4959,47.1012,30.6745,12.5185,15.8893,14.3195,10.0688,12.311,13.0468
2000-01-27,34.4011,78.1548,9.93134,9.03951,33.4624,13.6219,14.2048,11.0101,119.842,27.9516,68.1246,22.0123,84.5684,12.01,24.8752,11.0866,41.8888,14.0216,67.3721,140.628,18.6514,19.041,11.8454,13.1263,13.8329,121.771,15.5602,15.2331,17.0964,24.061,34.0849,22.345,24.0708,112.811,14.7354,123.976,112.888,12.3516,17.2262,15.3924,15.2906,10.5064,46.9872,30.7104,12.4517,15.8622,14.2376,10.0809,12.3007,13.025
2000-01-28,34.4011,78.4353,9.93134,8.89936,32.5446,13.2958,13.874,10.9392,119.482,27.6238,68.1345,21.8584,83.7353,12.01,24.8868,10.9773,41.7921,14.0291,65.3792,140.977,18.4852,18.9465,11.5614,13.1316,13.7223,117.66,15.5679,15.2451,16.9994,23.3786,33.3486,22.1674,23.4512,110.282,14.6781,122.412,112.522,12.3728,17.2457,15.1866,14.9635,10.5168,45.7303,30.7148,12.1955,15.7806,13.9103,10.0326,12.0635,12.9159
2000-01-29,34.4011,78.4353,9.93134,8.89936,32.5446,13.2958,13.874,10.9392,119.482,27.6238,68.1345,21.8584,83.7353,12.01,24.8868,10.9773,41.7921,14.0291,65.3792,140.977,18.4852,18.9465,11.5614,13.1316,13.7223,117.66,15.5679,15.2451,16.9994,23.3786,33.3486,22.1674,23.4512,110.282,14.6781,122.412,112.522,12.3728,17.2457,15.1866,14.9635,10.5168,45.7303,30.7148,12.1955,15.7806,13.9103,10.0326,12.0635,12.9159
2000-01-30,34.4011,78.4353,9.93134,8.89936,32.5446,13.2958,13.874,10.9392,119.482,27.6238,68.1345,21.8584,83.7353,12.01,24.8868,10.9773,41.7921,14.0291,65.3792,140.977,18.4852,18.9465,11.5614,13.1316,13.7223,117.66,15.5679,15.2451,16.9994,23.3786,33.3486,22.1674,23.4512,110.282,14.6781,122.412,112.522,12.3728,17.2457,15.1866,14.9635,10.5168,45.7303,30.7148,12.1955,15.7806,13.9103,10.0326,12.0635,12.9159
2000-01-31,34.8612,78.2483,9.93134,8.85932,33.3632,13.1065,13.6434,10.9888,119.64,27.3662,68.2431,21.8702,83.527,11.76,24.8331,11.0573,42.2004,13.9661,66.7687,140.512,18.1425,18.6476,11.3687,13.1198,13.5414,120.64,15.5232,15.2826,16.8886,23.8972,33.0868,21.7799,23.5783,111.51,14.3919,125.081,110.797,12.3448,17.2165,15.0722,14.691,10.5168,46.8527,30.683,12.2401,15.6719,13.9571,9.94796,11.8161,12.894
2000-02-01,34.8612,78.3418,9.9415,8.81927,33.7228,13.3274,13.8038,10.9745,119.926,27.5223,68.2529,21.9347,84.0477,11.64,24.8193,11.1126,42.2004,14.0268,67.9754,140.86,18.3295,18.7734,11.5412,13.1081,13.5112,123.569,15.5572,15.2826,16.9856,24.1156,33.4795,21.9575,23.8802,112.594,14.4491,125.587,110.693,12.3611,17.2361,15.1408,14.9908,10.5273,47.2902,30.6559,12.4072,15.7534,14.1909,10.0084,12.0017,12.9159
2000-02-02,34.8612,78.1548,9.9415,8.90937,33.7228,13.4115,13.9943,11.0174,120.082,27.858,68.3206,21.9593,84.256,11.78,24.8414,11.1126,42.2004,14.0293,68.2862,141.232,18.5683,18.7734,11.6831,13.1098,13.6419,123.877,15.544,15.2946,16.9717,24.2384,33.954,22.4418,24.0391,112.089,14.598,125.403,110.851,12.3638,17.2361,15.2666,15.0998,10.5378,47.3282,30.6921,12.5074,15.7806,14.2961,10.0205,12.1048,12.9377
2000-02-03,34.8612,78.482,9.95167,8.91938,34.1073,13.664,14.285,11.0746,120.368,28.5761,68.5041,22.2032,85.2975,11.81,24.9353,11.2506,42.2004,14.0901,69.566,142.168,19.1083,18.8836,11.957,13.1658,13.9536,125.265,15.5936,15.3666,17.0271,24.4431,34.9358,23.0231,24.5157,113.823,14.8842,126.047,111.272,12.4212,17.2557,15.3238,15.2906,10.5482,47.9179,30.8235,12.6745,15.8758,14.5299,10.0688,12.4347,13.0686
2000-02-04,34.8612,78.482,9.9415,8.85932,34.0949,13.7376,14.4655,11.046,120.395,28.5371,68.514,22.4472,86.2348,11.92,24.9478,11.361,42.2004,14.0398,69.9865,141.7,19.503,18.8207,12.0482,13.1846,13.9334,125.932,15.5699,15.3666,16.9717,24.4841,35.2958,23.1522,24.4998,114.907,14.9758,124.897,110.851,12.4156,17.2557,15.3581,15.3723,10.5482,47.8989,30.828,12.6188,15.7942,14.4831,10.0326,12.5688,13.2649
2000-02-05,34.8612,78.482,9.9415,8.85932,34.0949,13.7376,14.4655,11.046,120.395,28.5371,68.514,22.4472,86.2348,11.92,24.9478,11.361,42.2004,14.0398,69.9865,141.7,19.503,18.8207,12.0482,13.1846,13.9334,125.932,15.5699,15.3666,16.9717,24.4841,35.2958,23.1522,24.4998,114.907,14.9758,124.897,110.851,12.4156,17.2557,15.3581,15.3723,10.5482,47.8989,30.828,12.6188,15.7942,14.4831,10.0326,12.5688,13.2649
