Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,138.429993,138.580002,135.940002,136.800003,136.800003,16665700
2023-09-05,136.440002,137.369995,135.559998,136.710007,136.710007,17730200
2023-09-06,137.014999,137.479996,134.690002,135.369995,135.369995,15814300
2023-09-07,134.600006,136.580002,133.960007,136.199997,136.199997,16976000
2023-09-08,135.869995,137.514999,135.869995,137.199997,137.199997,17810700
2023-09-11,137.380005,138.264008,136.550003,137.740005,137.740005,17180800
2023-09-12,137.130005,137.639999,135.929993,136.070007,136.070007,15212900
2023-09-13,135.899994,137.699997,134.929993,137.500000,137.500000,16394900
2023-09-14,138.389999,139.550003,137.059998,138.990005,138.990005,19064600
2023-09-15,138.800003,139.360001,137.179993,138.300003,138.300003,48947600
2023-09-18,137.630005,139.929993,137.630005,138.960007,138.960007,16233600
2023-09-19,138.250000,139.175003,137.500000,138.830002,138.830002,15479100
2023-09-20,138.830002,138.839996,134.520004,134.589996,134.589996,21473500
2023-09-21,132.389999,133.190002,131.089996,131.360001,131.360001,22042700
2023-09-22,131.679993,133.009995,130.509995,131.250000,131.250000,17348700
2023-09-25,130.770004,132.220001,130.029999,132.169998,132.169998,14650000
2023-09-26,130.914001,131.404999,128.190002,129.449997,129.449997,20378800
2023-09-27,129.440002,131.720001,129.380005,131.460007,131.460007,18764200
2023-09-28,130.690002,134.179993,130.690002,133.130005,133.130005,18201400
2023-09-29,134.080002,134.889999,131.320007,131.850006,131.850006,23224200
2023-10-02,132.154999,135.360001,132.065002,135.169998,135.169998,19210400
2023-10-03,134.929993,135.240005,132.815002,133.300003,133.300003,19628700
2023-10-04,133.660004,136.570007,133.429993,136.270004,136.270004,22848000
2023-10-05,136.130005,136.500000,134.455002,135.990005,135.990005,15922900
2023-10-06,134.940002,139.186005,134.940002,138.729996,138.729996,20819300
2023-10-09,137.990005,139.970001,136.699997,139.500000,139.500000,16599100
2023-10-10,139.509995,140.740005,138.429993,139.199997,139.199997,19554900
2023-10-11,139.850006,142.220001,139.839996,141.699997,141.699997,20146300
2023-10-12,142.160004,142.380005,139.449997,140.289993,140.289993,18173100
2023-10-13,140.649994,141.339996,137.970001,138.580002,138.580002,19438700
2023-10-16,139.729996,140.904999,139.320007,140.490005,140.490005,17345600
2023-10-17,140.029999,141.250000,138.529007,140.990005,140.990005,17424000
2023-10-18,140.750000,141.990005,138.705002,139.279999,139.279999,18304900
2023-10-19,139.800003,141.005005,138.600006,138.979996,138.979996,21831200
2023-10-20,138.589996,139.039993,136.244995,136.740005,136.740005,24953900
2023-10-23,136.229996,139.020004,135.110001,137.899994,137.899994,20780700
2023-10-24,139.160004,140.710007,138.750000,140.119995,140.119995,26535200
2023-10-25,129.770004,130.100006,126.089996,126.669998,126.669998,58796100
2023-10-26,124.470001,125.459999,122.320000,123.440002,123.440002,33907400
2023-10-27,124.029999,124.440002,121.459999,123.400002,123.400002,37367700
2023-10-30,124.459999,126.550003,123.879997,125.750000,125.750000,24165600
2023-10-31,126.269997,126.559998,123.925003,125.300003,125.300003,21123400
2023-11-01,125.339996,127.739998,124.925003,127.570000,127.570000,26536600
2023-11-02,129.559998,130.089996,128.110001,128.580002,128.580002,24091700
2023-11-03,129.089996,130.729996,129.009995,130.369995,130.369995,19517900
2023-11-06,130.220001,131.559998,129.929993,131.449997,131.449997,15360400
2023-11-07,131.979996,133.279999,131.139999,132.399994,132.399994,19223800
2023-11-08,132.360001,133.539993,132.160004,133.259995,133.259995,15093600
2023-11-09,133.360001,133.960007,131.509995,131.690002,131.690002,17976500
2023-11-10,131.529999,134.270004,130.869995,134.059998,134.059998,20872900
2023-11-13,133.360001,134.110001,132.770004,133.639999,133.639999,16409900
2023-11-14,135.649994,137.240005,135.100006,135.429993,135.429993,22317300
2023-11-15,136.639999,136.839996,135.330002,136.380005,136.380005,15840900
2023-11-16,136.960007,138.880005,136.080002,138.699997,138.699997,17615100
2023-11-17,137.820007,138.000000,135.479996,136.940002,136.940002,25565300
2023-11-20,135.500000,138.425003,135.490005,137.919998,137.919998,19569400
2023-11-21,137.940002,138.964996,137.705002,138.619995,138.619995,17648100
2023-11-22,139.100006,141.100006,139.000000,140.020004,140.020004,17306400
2023-11-24,139.539993,139.677002,137.470001,138.220001,138.220001,8828600
2023-11-27,137.570007,139.630005,137.539993,138.050003,138.050003,17886400
2023-11-28,137.630005,138.660004,137.039993,138.619995,138.619995,17046900
2023-11-29,138.985001,139.669998,136.294998,136.399994,136.399994,21014700
2023-11-30,136.399994,136.960007,132.789993,133.919998,133.919998,29913500
2023-12-01,133.320007,133.500000,132.151993,133.320007,133.320007,24258400
