Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"287,232,965.16",8.88,"287,232,965.16","585,628.00",490.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"268,583,087.00",8.3,"268,583,087.00","1,647,749.00",163,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"205,928,361.80",6.37,"205,928,361.80","527,548.00",390.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"182,394,553.76",5.64,"182,394,553.76","1,583,836.00",115.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"164,728,376.75",5.09,"164,728,376.75","1,106,525.00",148.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"137,087,688.40",4.24,"137,087,688.40","3,538,660.00",38.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"133,024,695.44",4.11,"133,024,695.44","244,972.00",543.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"117,558,214.50",3.63,"117,558,214.50","1,073,591.00",109.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"93,792,674.64",2.9,"93,792,674.64","405,292.00",231.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"90,150,768.34",2.79,"90,150,768.34","1,333,394.00",67.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMGN,AMGEN INC,Health Care,Equity,"80,349,988.12",2.48,"80,349,988.12","334,318.00",240.34,United States,NASDAQ,USD,1,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"76,468,428.84",2.36,"76,468,428.84","836,818.00",91.38,United States,New York Stock Exchange Inc.,USD,1,USD,-
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"70,238,168.00",2.17,"70,238,168.00","150,920.00",465.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"65,663,783.10",2.03,"65,663,783.10","785,922.00",83.55,United States,NASDAQ,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"65,595,576.54",2.03,"65,595,576.54","219,957.00",298.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"65,265,747.84",2.02,"65,265,747.84","220,552.00",295.92,United States,NASDAQ,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"54,329,064.56",1.68,"54,329,064.56","160,088.00",339.37,United States,NASDAQ,USD,1,USD,-
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"51,413,282.68",1.59,"51,413,282.68","64,892.00",792.29,United States,NASDAQ,USD,1,USD,-
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"51,275,589.40",1.59,"51,275,589.40","294,772.00",173.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
BDX,BECTON DICKINSON,Health Care,Equity,"46,803,944.70",1.45,"46,803,944.70","177,759.00",263.3,United States,New York Stock Exchange Inc.,USD,1,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"46,477,514.49",1.44,"46,477,514.49","893,283.00",52.03,United States,New York Stock Exchange Inc.,USD,1,USD,-
CI,CIGNA,Health Care,Equity,"45,921,536.52",1.42,"45,921,536.52","183,444.00",250.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
HUM,HUMANA INC,Health Care,Equity,"41,568,558.08",1.29,"41,568,558.08","79,136.00",525.28,United States,New York Stock Exchange Inc.,USD,1,USD,-
HCA,HCA HEALTHCARE INC,Health Care,Equity,"38,147,758.60",1.18,"38,147,758.60","135,065.00",282.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"33,528,987.20",1.04,"33,528,987.20","386,635.00",86.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
DXCM,DEXCOM INC,Health Care,Equity,"29,796,620.96",0.92,"29,796,620.96","241,112.00",123.58,United States,NASDAQ,USD,1,USD,-
MRNA,MODERNA INC,Health Care,Equity,"27,018,660.68",0.84,"27,018,660.68","207,724.00",130.07,United States,NASDAQ,USD,1,USD,-
BIIB,BIOGEN INC,Health Care,Equity,"26,340,809.60",0.81,"26,340,809.60","89,680.00",293.72,United States,NASDAQ,USD,1,USD,-
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"24,921,583.50",0.77,"24,921,583.50","51,425.00",484.62,United States,NASDAQ,USD,1,USD,-
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,"24,660,577.50",0.76,"24,660,577.50","185,070.00",133.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
CNC,CENTENE CORP,Health Care,Equity,"23,483,649.50",0.73,"23,483,649.50","342,827.00",68.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
IQV,IQVIA HOLDINGS INC,Health Care,Equity,"21,319,803.78",0.66,"21,319,803.78","116,083.00",183.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
RMD,RESMED INC,Health Care,Equity,"20,371,400.70",0.63,"20,371,400.70","90,419.00",225.3,United States,New York Stock Exchange Inc.,USD,1,USD,-
ILMN,ILLUMINA INC,Health Care,Equity,"20,104,209.18",0.62,"20,104,209.18","98,362.00",204.39,United States,NASDAQ,USD,1,USD,-
GEHC,GE HEALTHCARE TECHNOLOGIES,Health Care,Equity,"18,641,096.88",0.58,"18,641,096.88","228,669.00",81.52,United States,NASDAQ,USD,1,USD,-
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,Equity,"18,134,641.30",0.56,"18,134,641.30","131,078.00",138.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
SGEN,SEAGEN INC,Health Care,Equity,"17,075,842.56",0.53,"17,075,842.56","85,056.00",200.76,United States,NASDAQ,USD,1,USD,-
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,"16,459,118.70",0.51,"16,459,118.70","46,335.00",355.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"15,574,806.87",0.48,"15,574,806.87","49,019.00",317.73,United States,NASDAQ,USD,1,USD,-
HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care,Equity,"15,354,893.85",0.47,"15,354,893.85","138,295.00",111.03,United States,NASDAQ,USD,1,USD,-
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,"15,264,710.10",0.47,"15,264,710.10","87,202.00",175.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,"15,077,044.32",0.47,"15,077,044.32","76,908.00",196.04,United States,NASDAQ,USD,1,USD,-
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"14,718,366.00",0.46,"14,718,366.00","314,495.00",46.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
PODD,INSULET CORP,Health Care,Equity,"13,624,769.55",0.42,"13,624,769.55","43,085.00",316.23,United States,NASDAQ,USD,1,USD,-
CAH,CARDINAL HEALTH INC,Health Care,Equity,"13,208,149.44",0.41,"13,208,149.44","160,918.00",82.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
HOLX,HOLOGIC INC,Health Care,Equity,"12,891,433.15",0.4,"12,891,433.15","152,291.00",84.65,United States,NASDAQ,USD,1,USD,-
LH,LABORATORY CORPORATION OF AMERICA,Health Care,Equity,"12,452,544.49",0.38,"12,452,544.49","55,421.00",224.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
STE,STERIS,Health Care,Equity,"11,613,766.50",0.36,"11,613,766.50","62,490.00",185.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
COO,COOPER INC,Health Care,Equity,"11,505,139.84",0.36,"11,505,139.84","30,424.00",378.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,Equity,"10,680,193.80",0.33,"10,680,193.80","115,524.00",92.45,United States,NASDAQ,USD,1,USD,-
MOH,MOLINA HEALTHCARE INC,Health Care,Equity,"10,619,640.72",0.33,"10,619,640.72","35,766.00",296.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
PKI,PERKINELMER INC,Health Care,Equity,"10,156,240.00",0.31,"10,156,240.00","79,000.00",128.56,United States,New York Stock Exchange Inc.,USD,1,USD,-
DGX,QUEST DIAGNOSTICS INC,Health Care,Equity,"9,768,044.72",0.3,"9,768,044.72","69,272.00",141.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
INCY,INCYTE CORP,Health Care,Equity,"8,390,428.95",0.26,"8,390,428.95","113,923.00",73.65,United States,NASDAQ,USD,1,USD,-
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,Equity,"8,206,548.78",0.25,"8,206,548.78","232,217.00",35.34,United States,NASDAQ,USD,1,USD,-
TFX,TELEFLEX INC,Health Care,Equity,"7,872,812.64",0.24,"7,872,812.64","29,304.00",268.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
TECH,BIO TECHNE CORP,Health Care,Equity,"7,546,923.30",0.23,"7,546,923.30","97,129.00",77.7,United States,NASDAQ,USD,1,USD,-
AVTR,AVANTOR INC,Health Care,Equity,"7,156,880.96",0.22,"7,156,880.96","381,904.00",18.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
VTRS,VIATRIS INC,Health Care,Equity,"7,005,597.44",0.22,"7,005,597.44","756,544.00",9.26,United States,NASDAQ,USD,1,USD,-
