Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"2,070,879,668.55",19.78,"2,070,879,668.55","12,296,655.00",168.41,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"1,885,942,972.44",18.01,"1,885,942,972.44","6,186,868.00",304.83,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"560,554,874.18",5.35,"560,554,874.18","5,210,102.00",107.59,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"491,951,766.94",4.7,"491,951,766.94","1,806,919.00",272.26,United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"491,007,889.39",4.69,"491,007,889.39","4,530,847.00",108.37,United States,NASDAQ,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"465,630,950.40",4.45,"465,630,950.40","1,951,840.00",238.56,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"278,243,066.53",2.66,"278,243,066.53","449,933.00",618.41,United States,NASDAQ,USD,1,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"243,610,830.42",2.33,"243,610,830.42","1,243,293.00",195.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"219,384,051.46",2.1,"219,384,051.46","590,663.00",371.42,United States,NASDAQ,USD,1,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"193,750,979.10",1.85,"193,750,979.10","1,172,330.00",165.27,United States,NASDAQ,USD,1,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"187,679,099.52",1.79,"187,679,099.52","1,974,738.00",95.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"182,452,653.76",1.74,"182,452,653.76","2,086,604.00",87.44,United States,NASDAQ,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"164,905,579.52",1.57,"164,905,579.52","1,447,556.00",113.92,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"159,711,316.06",1.53,"159,711,316.06","5,348,671.00",29.86,United States,NASDAQ,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"152,782,676.64",1.46,"152,782,676.64","356,004.00",429.16,United States,NASDAQ,USD,1,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"147,615,829.88",1.41,"147,615,829.88","1,162,604.00",126.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"121,404,759.36",1.16,"121,404,759.36","1,087,077.00",111.68,United States,NASDAQ,USD,1,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"119,003,458.84",1.14,"119,003,458.84","261,926.00",454.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADI,ANALOG DEVICES INC,Information Technology,Equity,"116,008,062.50",1.11,"116,008,062.50","653,125.00",177.62,United States,NASDAQ,USD,1,USD,-
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"90,344,975.68",0.86,"90,344,975.68","174,112.00",518.89,United States,NASDAQ,USD,1,USD,-
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"86,815,183.30",0.83,"86,815,183.30","1,402,507.00",61.9,United States,NASDAQ,USD,1,USD,-
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"73,184,803.82",0.7,"73,184,803.82","352,087.00",207.86,United States,NASDAQ,USD,1,USD,-
SNPS,SYNOPSYS INC,Information Technology,Equity,"72,503,941.07",0.69,"72,503,941.07","196,813.00",368.39,United States,NASDAQ,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"71,083,303.20",0.68,"71,083,303.20","383,985.00",185.12,United States,NASDAQ,USD,1,USD,-
KLAC,KLA CORP,Information Technology,Equity,"68,791,325.44",0.66,"68,791,325.44","178,846.00",384.64,United States,NASDAQ,USD,1,USD,-
