Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NEE,NEXTERA ENERGY INC,Utilities,Equity,"128,882,044.50",12.89,"128,882,044.50","1,699,170.00",75.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
SO,SOUTHERN,Utilities,Equity,"68,386,500.02",6.84,"68,386,500.02","930,302.00",73.51,United States,New York Stock Exchange Inc.,USD,1,USD,-
DUK,DUKE ENERGY CORP,Utilities,Equity,"65,524,171.51",6.55,"65,524,171.51","658,733.00",99.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
WM,WASTE MANAGEMENT INC,Industrials,Equity,"56,721,300.79",5.67,"56,721,300.79","350,933.00",161.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
SRE,SEMPRA,Utilities,Equity,"41,999,292.39",4.2,"41,999,292.39","269,071.00",156.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
D,DOMINION ENERGY INC,Utilities,Equity,"40,830,447.20",4.08,"40,830,447.20","711,952.00",57.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,"40,814,775.27",4.08,"40,814,775.27","439,767.00",92.81,United States,NASDAQ,USD,1,USD,-
EXC,EXELON CORP,Utilities,Equity,"36,328,818.78",3.63,"36,328,818.78","849,201.00",42.78,United States,NASDAQ,USD,1,USD,-
XEL,XCEL ENERGY INC,Utilities,Equity,"32,757,390.06",3.28,"32,757,390.06","466,231.00",70.26,United States,NASDAQ,USD,1,USD,-
ED,CONSOLIDATED EDISON INC,Utilities,Equity,"30,089,922.66",3.01,"30,089,922.66","303,387.00",99.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities,Equity,"27,008,888.40",2.7,"27,008,888.40","425,672.00",63.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
WEC,WEC ENERGY GROUP INC,Utilities,Equity,"26,042,152.99",2.6,"26,042,152.99","269,783.00",96.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,"24,487,289.32",2.45,"24,487,289.32","164,942.00",148.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
RSG,REPUBLIC SERVICES INC,Industrials,Equity,"24,273,507.79",2.43,"24,273,507.79","176,291.00",137.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
PCG,PG&E CORP,Utilities,Equity,"23,996,459.85",2.4,"23,996,459.85","1,407,417.00",17.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
EIX,EDISON INTERNATIONAL,Utilities,Equity,"23,645,765.85",2.36,"23,645,765.85","321,405.00",73.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
ES,EVERSOURCE ENERGY,Utilities,Equity,"22,972,674.06",2.3,"22,972,674.06","294,597.00",77.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"21,424,992.75",2.14,"21,424,992.75","279,153.00",76.75,United States,NASDAQ,USD,1,USD,-
AEE,AMEREN CORP,Utilities,Equity,"19,739,386.92",1.97,"19,739,386.92","220,011.00",89.72,United States,New York Stock Exchange Inc.,USD,1,USD,-
FE,FIRSTENERGY CORP,Utilities,Equity,"19,087,739.52",1.91,"19,087,739.52","464,196.00",41.12,United States,New York Stock Exchange Inc.,USD,1,USD,-
